time,base_x,base_y,base_z,tau_FL_hip,tau_FL_thigh,tau_FL_calf,tau_FR_hip,tau_FR_thigh,tau_FR_calf,tau_RL_hip,tau_RL_thigh,tau_RL_calf,tau_RR_hip,tau_RR_thigh,tau_RR_calf
3.6819999999997055,-0.015504844337434771,-2.6921375957668858e-05,0.43816301819688636,-6.160441794420927,0.42617776661921664,15.889581656574558,6.195767808279089,0.4246009742703014,15.961856521926363,-6.212953055998834,0.3893056037046256,15.963012641265697,6.252406429708294,0.3871153897121526,16.031851908113474
3.6829999999997054,-0.015504846004688141,-2.692111913959196e-05,0.4381626224399589,-6.161147998696575,0.42616424530619845,15.889571650130712,6.196475450840565,0.4245902919199322,15.961846245466498,-6.213666189197385,0.38931406212756736,15.96301200236648,6.253118766145338,0.38712631751523024,16.031852663712137
3.6839999999997053,-0.015504847674791088,-2.6920862081298257e-05,0.4381622268351703,-6.161853922742551,0.4261507342909728,15.8895616469763,6.197182812761611,0.42457961793085963,15.961835972086362,-6.214379039758446,0.389322518745414,15.963011362343806,6.253830820532036,0.3871372421532441,16.031853417317453
3.684999999999705,-0.015504849347732745,-2.6920604783259137e-05,0.43816183138246456,-6.162559566669527,0.4261372335620488,15.889551647110691,6.197889894152655,0.4245689522928888,15.961825701785939,-6.215091607793416,0.389330973553953,15.963010721198085,6.254542592979416,0.387148163622875,16.031854168930252
3.685999999999705,-0.015504851023502273,-2.6920347245944716e-05,0.4381614360817857,-6.163264930588118,0.4261237431079084,15.889541650533333,6.1985966951240945,0.4245582949958534,15.961815434565125,-6.215803893413643,0.38933942654894593,15.963010078929722,6.2552540835984605,0.38715908192082815,16.031854918551442
3.686999999999705,-0.015504852702088857,-2.692008946982456e-05,0.4381610409330778,-6.163970014608912,0.4261102629170966,15.889531657243642,6.199303215786274,0.4245476460295259,15.961805170423897,-6.216515896730436,0.3893478777262135,15.96300943553906,6.255965292500111,0.3871699970438174,16.03185566618192
3.687999999999705,-0.015504854383481708,-2.6919831455367326e-05,0.4381606459362849,-6.1646748188424425,0.42609679297811565,15.889521667240999,6.200009456249496,0.4245370053838049,15.961794909362128,-6.217227617855057,0.3893563270815664,15.963008791026542,6.2566762197952634,0.38718090898860025,16.031856411822584
3.6889999999997047,-0.01550485606767006,-2.691957320304078e-05,0.43816025109135115,-6.165379343399207,0.4260833332795303,15.889511680524814,6.200715416624027,0.42452637304849633,15.961784651379759,-6.217939056898725,0.389364774610846,15.963008145392514,6.257386865594776,0.38719181775185757,16.031857155474285
3.6899999999997046,-0.015504857754643173,-2.6919314713311785e-05,0.43815985639822064,-6.166083588389655,0.4260698838099194,15.889501697094515,6.201421097020083,0.42451574901351324,15.961774396476702,-6.218650213972621,0.38937322030986043,15.963007498637367,6.258097230009456,0.3872027233303438,16.031857897137957
3.6909999999997045,-0.015504859444390335,-2.6919055986646482e-05,0.43815946185683746,-6.166787553924197,0.42605644455788166,15.889491716949536,6.202126497547845,0.42450513326870176,15.961764144652925,-6.219361089187875,0.38938166417445497,15.963006850761474,6.258807313150073,0.3872136257208414,16.031858636814466
3.6919999999997044,-0.015504861136900853,-2.6918797023510137e-05,0.4381590674671458,-6.167491240113196,0.42604301551198864,15.88948174008926,6.202831618317447,0.42449452580401287,15.961753895908325,-6.220071682655577,0.38939010620050196,15.963006201765227,6.259517115127349,0.3872245249201034,16.031859374504748
3.6929999999997043,-0.015504862832164065,-2.691853782436716e-05,0.4381586732290898,-6.168194647066975,0.4260295966608751,15.889471766513118,6.203536459438978,0.42448392660935585,15.961743650242814,-6.220781994486775,0.38939854638387666,15.963005551649006,6.260226636051968,0.3872354209248798,16.03186011020967
3.693999999999704,-0.015504864530169329,-2.6918278389681135e-05,0.4381582791426136,-6.16889777489581,0.4260161879932146,15.88946179622049,6.204241021022493,0.42447333567467643,15.961733407656308,-6.221492024792473,0.38940698472045054,15.963004900413207,6.260935876034564,0.3872463137319888,16.031860843930108
3.694999999999704,-0.01550486623090603,-2.6918018719914814e-05,0.4381578852076615,-6.169600623709937,0.4260027894976426,15.889451829210806,6.204945303177998,0.42446275298991837,15.961723168148712,-6.222201773683632,0.3894154212061289,15.963004248058274,6.261644835185734,0.3872572033382462,16.031861575666994
3.695999999999704,-0.015504867934363576,-2.6917758815530206e-05,0.4381574914241777,-6.17030319361955,0.4259894011628187,15.889441865483462,6.205649306015457,0.42445217854505923,15.961712931719937,-6.222911241271166,0.38942385583681977,15.963003594584528,6.2623535136160315,0.3872680897404301,16.031862305421267
3.696999999999704,-0.015504869640531403,-2.691749867698843e-05,0.4381570977921064,-6.171005484734797,0.4259760229774706,15.889431905037902,6.206353029644793,0.42444161233010796,15.961702698369946,-6.2236204276659475,0.38943228860845946,15.963002939992414,6.263061911435962,0.38727897293535507,16.0318630331938
3.6979999999997037,-0.01550487134939897,-2.691723830474987e-05,0.43815670431139186,-6.171707497165784,0.4259626549302704,15.889421947873547,6.2070564741758885,0.42443105433503403,15.961692468098603,-6.224329332978811,0.38944071951694836,15.96300228428238,6.2637700287559905,0.3872898529199051,16.031863758985455
3.6989999999997036,-0.015504873060955757,-2.691697769927402e-05,0.4381563109819784,-6.172409231022571,0.4259492970099817,15.889411993989729,6.207759639718583,0.42442050454988295,15.96168224090581,-6.225037957320541,0.3894491485582564,15.963001627454762,6.26447786568654,0.3873007296908932,16.031864482797225
3.6999999999997035,-0.015504874775191274,-2.6916716861019592e-05,0.43815591780381025,-6.17311068641518,0.42593594920533134,15.889402043385935,6.20846252638267,0.4244099629647259,15.961672016791532,-6.225746300801883,0.38945757572832246,15.963000969509983,6.265185422337989,0.3873116032451627,16.031865204629923
3.7009999999997034,-0.015504876492095053,-2.6916455790444484e-05,0.43815552477683173,-6.173811863453586,0.4259226115050847,15.889392096061487,6.209165134277906,0.42439942956956156,15.961661795755635,-6.226454363533536,0.389466001023109,15.963000310448496,6.265892698820672,0.3873224735795969,16.031865924484524
3.7019999999997033,-0.01550487821165665,-2.6916194488005735e-05,0.4381551319009872,-6.174512762247724,0.42590928389803157,15.889382152015882,6.209867463513998,0.4243889043545059,15.961651577798008,-6.227162145626156,0.38947442443862496,15.962999650270673,6.266599695244884,0.38733334069106673,16.031866642361923
3.702999999999703,-0.015504879933865645,-2.6915932954159588e-05,0.438154739176221,-6.175213382907483,0.42589596637296967,15.88937221124844,6.210569514200618,0.42437838730965555,15.961641362918574,-6.22786964719036,0.3894828459708331,15.962998988976906,6.267306411720874,0.38734420457645247,16.03186735826304
3.703999999999703,-0.015504881658711644,-2.6915671189361504e-05,0.4381543466024775,-6.17591372554271,0.4258826589186891,15.88936227375866,6.211271286447392,0.4243678784250792,15.961631151117302,-6.228576868336719,0.38949126561573283,15.962998326567636,6.268012848358848,0.3873550652326628,16.031868072188804
3.704999999999703,-0.015504883386184276,-2.691540919406602e-05,0.43815395417970104,-6.176613790263211,0.42586936152405186,15.88935233954586,6.211972780363905,0.42435737769094767,15.961620942393987,-6.229283809175759,0.3894996833693555,15.962997663043307,6.268719005268969,0.3873659226566084,16.031868784140084
3.705999999999703,-0.015504885116273195,-2.691514696872696e-05,0.43815356190783605,-6.177313577178747,0.4258560741779128,15.889342408609485,6.2126739960597,0.42434688509735496,15.96161073674861,-6.229990469817967,0.3895080992277337,15.9629969984043,6.269424882561359,0.38737677684522787,16.03186949411782
3.7069999999997028,-0.015504886848968079,-2.691488451379743e-05,0.438153169786827,-6.178013086399036,0.4258427968691248,15.88933248094897,6.2133749336442765,0.4243364006344715,15.96160053418107,-6.230696850373782,0.38951651318689834,15.962996332650993,6.270130480346095,0.3873876277954296,16.03187020212299
3.7079999999997026,-0.015504888584258629,-2.691462182972966e-05,0.43815277781661827,-6.178712318033755,0.42582952958654463,15.889322556563698,6.214075593227093,0.42432592429246846,15.961590334691213,-6.231402950953605,0.3895249252428783,15.962995665783891,6.270835798733212,0.38739847550415574,16.031870908156467
3.7089999999997025,-0.015504890322134571,-2.691435891697507e-05,0.43815238599715434,-6.1794112721925325,0.42581627231909663,15.889312635453045,6.214775974917565,0.42431545606153714,15.961580138278958,-6.2321087716677885,0.38953333539173574,15.96299499780337,6.271540837832699,0.38740931996834616,16.03187161221911
3.7099999999997024,-0.015504892062585655,-2.6914095775984332e-05,0.43815199432837965,-6.180109948984961,0.4258030250557004,15.889302717616447,6.2154760788250645,0.4243049959319129,15.961569944944213,-6.232814312626647,0.3895417436295688,15.96299432870987,6.272245597754508,0.3874201611849709,16.031872314311926
3.7109999999997023,-0.015504893805601654,-2.691383240720723e-05,0.43815160281023874,-6.1808083485205865,0.4257897877853073,15.889292803053285,6.2161759050589245,0.42429454389375865,15.961559754686881,-6.233519573940449,0.3895501499524379,15.962993658503823,6.272950078608544,0.3874309991510362,16.031873014435824
3.711999999999702,-0.015504895551172366,-2.6913568811092806e-05,0.4381512114426761,-6.1815064709089125,0.42577656049683676,15.889282891763,6.216875453728435,0.4242840999373615,15.961549567506843,-6.234224555719422,0.3895585543564351,15.962992987185624,6.273654280504668,0.3874418338634791,16.031873712591736
3.712999999999702,-0.015504897299287612,-2.6913304988089323e-05,0.43815082022563623,-6.182204316259402,0.42576334317927167,15.889272983744975,6.217574724942843,0.4242736640529578,15.96153938340399,-6.2349292580737465,0.38956695683769,15.962992314755759,6.274358203552703,0.38745266531933453,16.031874408780602
